Building & Room ID,Building Name,Floor, Room size (SF),Department,Room Use Code,Actual Stations,Furniture Type,Space Category,Comments,Room Photo1,Room Photo2,Room Photo3,Room Photo4,Occupants,Function Comment
025-0 0125-B0,Faculty Offices East,1,329.5,109400-CSM-Liberal Studies,311 - Staff Office,2,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200125-B0.Room%20Photo1.183917.jpg&appVersion=1.000082&signature=ba0a2e95b4f47c57d139b518fe0bfc7fb2368cd4aed4ffa0cf6f529994ba8143,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200125-B0.Room%20Photo2.184039.jpg&appVersion=1.000082&signature=fae777b2ed9fa665d26fb4fb48f7ee8b10f731463a4d6b4b9da9c09d763d33f4,,,"Gambero, Mia (CSM-LS)",
025-0 0125-A0,Faculty Offices East,1,274.49,109400-CSM-Liberal Studies,315 - Office Service,0,10 Computer Wrkst,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200125-A0.Room%20Photo1.183811.jpg&appVersion=1.000082&signature=78991f3985dd6dcc3e31029e29ee454e8eecd10fb7e74a73db35d3e32661163c,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200125-A0.Room%20Photo2.183811.jpg&appVersion=1.000082&signature=aec6f99f3290020f595b031778630004066ff200dc9ad8afcb3040fc91918c87,,,,
025-0 0124-00,Faculty Offices East,1,99.36,117508-CSM-Ctr Sci-Math Teacher Educ,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200124-00.Room%20Photo1.183711.jpg&appVersion=1.000082&signature=146f92f7e3d55bbfff0d1c5fbf12569fcddb43809a4188f2aa0db1e1637d61b8,,,,"Frye, Amanda (CSM-LS)",
025-0 0123-00,Faculty Offices East,1,102.2,117508-CSM-Ctr Sci-Math Teacher Educ,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200123-00.Room%20Photo1.183605.jpg&appVersion=1.000082&signature=c356991680c923731ed42483fc02936833037fa9df321b71321b2614eaecab34,,,,"Ojeda, Rosie (CSM-LS)",
025-0 0122-00,Faculty Offices East,1,102.2,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Holladay, Bret (CSM-STAT)",
025-0 0120-00,Faculty Offices East,1,102.2,117502-CSM-Deans Office,"312 - Admin Office - Dept Head, Lib, Dir, Assoc. Dean",1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Bailey, Phil (CSM)",
025-0 0119-00,Faculty Offices East,1,97.76,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,Also shared with Sonja Shuster and Yi-Hui Wang,,,,,"Cheng, Nianpin (CSM-STAT);Grant, Billie-Jo (CSM-STAT)",
025-0 0113-00,Faculty Offices East,1,97.76,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Williams, Immanuel (CSM-STAT)",
025-0 0112-00,Faculty Offices East,1,102.2,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Smith, Heather (CSM-STAT)",
025-0 0111-00,Faculty Offices East,1,102.2,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,Lubaba Alim is using the room temporarily while Glanz is out on leave,,,,,"Glanz, Hunter (CSM-STAT)",
